id,pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
1650261,1650261,1528102921.34461,e,1,tcp,1,192.168.100.150,54110,192.168.100.3,80,10,1729,RST,1,1528102927.75104,20,6.4064239999999995,0.679473,0.544126,1.358946,0.135347,1.2235989999999999,6,4,963,766,1.4048399999999999,0.780467,0.46828000000000003,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.56093,1.21662,328,308,1,DDoS,HTTP
1650262,1650262,1528102921.34521,e,1,tcp,1,192.168.100.150,54112,192.168.100.3,80,10,1604,RST,1,1528102927.75106,21,6.405851,0.6795720000000001,0.544197,1.3591440000000001,0.135375,1.223769,6,4,838,766,1.404966,0.780536,0.468322,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.5610700000000002,1.21662,328,308,1,DDoS,HTTP
1650263,1650263,1528102921.35005,e,1,tcp,1,192.168.105.150,54114,192.168.100.3,80,8,1708,RST,1,1528102927.75109,22,6.401038,1.110847,1.110847,2.221694,0.0,2.221694,5,3,1008,700,1.093573,0.624899,0.900214,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.2498,1.21662,328,308,1,DDoS,HTTP
1650264,1650264,1528102921.35041,e,1,tcp,1,192.168.105.150,54116,192.168.100.3,80,8,1462,RST,1,1528102927.75111,23,6.400703,1.113328,1.113328,2.226655,0.0,2.226655,5,3,762,700,1.0936299999999999,0.624931,0.898208,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.24986,1.21662,328,308,1,DDoS,HTTP
1650265,1650265,1528102921.3506598,e,1,tcp,1,192.168.100.150,54118,192.168.100.3,80,8,1296,RST,1,1528102927.75114,24,6.400472,1.113098,1.113098,2.226195,0.0,2.226195,5,3,596,700,1.093669,0.624954,0.898394,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.24991,1.21662,328,308,1,DDoS,HTTP
1650266,1650266,1528102921.3510098,e,1,tcp,1,192.168.100.150,54120,192.168.100.3,80,8,1434,RST,1,1528102927.75116,25,6.400154,1.113392,1.113392,2.226783,0.0,2.226783,5,3,734,700,1.093724,0.624985,0.898157,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.24997,1.21662,328,308,1,DDoS,HTTP
1650267,1650267,1528102921.35154,e,1,tcp,1,192.168.100.150,54122,192.168.100.3,80,8,1764,RST,1,1528102927.7511802,26,6.399644,1.612942,1.612942,3.225885,0.0,3.225885,5,3,1064,700,1.093811,0.625035,0.619985,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25007,1.21662,328,308,1,DDoS,HTTP
1650268,1650268,1528102921.35181,e,1,tcp,1,192.168.100.150,54124,192.168.100.3,80,8,1469,RST,1,1528102927.75123,27,6.3994279999999995,1.613153,1.613153,3.226305,0.0,3.226305,5,3,769,700,1.093848,0.6250560000000001,0.619904,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25011,1.21662,328,308,1,DDoS,HTTP
1650269,1650269,1528102921.35488,e,1,tcp,1,192.168.100.150,54126,192.168.100.3,80,8,1613,RST,1,1528102927.75126,28,6.396386,1.611953,1.611953,3.223905,0.0,3.223905,5,3,913,700,1.094368,0.6253529999999999,0.620366,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25071,1.21662,328,308,1,DDoS,HTTP
1650270,1650270,1528102921.3551302,e,1,tcp,1,192.168.100.150,54128,192.168.100.3,80,8,1376,RST,1,1528102927.7513,29,6.39617,1.612818,1.612818,3.225637,0.0,3.225637,5,3,676,700,1.0944049999999999,0.625374,0.620033,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25075,1.21662,328,308,1,DDoS,HTTP
